Name,Location,Year,Kilometers,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price_nrs
Hyundai Elantra CRDi,Itahari,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5,19.125
Toyota Innova Crysta 2.7 GX MT,Biratnagar,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7,49.275
Hyundai Xcent 1.1 CRDi S,Birjung,2014,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,17.325
Mahindra Thar CRDe AC,Birjung,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6,24.75
Audi A4 2.0 TDI 177 Bhp Premium Plus,Ratnanagar,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,96.435
Maruti Swift LDI,Kathmandu,2014,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,19.125
Maruti Swift Ldi BSIV,Butwal,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,14.85
Maruti Swift VDI,Kathmandu,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,17.325
Hyundai Grand i10 Sportz,Pokhara,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5,16.2
Volkswagen Vento 2013-2015 1.6 Comfortline,Butwal,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,17.955
Renault KWID RXT,Ratnanagar,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,14.85
Hyundai i10 Asta,Butwal,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,9.315
Nissan X-Trail SLX AT,Nepaljung,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5,34.875
Maruti Zen Estilo VXI BSIII,Nepaljung,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5,10.125
Toyota Innova Crysta 2.4 GX MT 8S,Bharatpur,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8,74.25
Ford Figo Diesel Titanium,Biratnagar,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,12.375
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kathmandu,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,120.15
Mercedes-Benz New C-Class 200 CDI Classic,Hetauda,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5,45
Tata Indica V2 eLS,Pokhara,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,11.25
Audi A4 2.0 TDI Multitronic,Birjung,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,60.75
Honda City ZX CVT,Bharatpur,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5,8.325
Mercedes-Benz C-Class Progressive C 220d,Janakpur,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5,160.515
Maruti Ertiga SHVS VDI,Hetauda,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,36.675
Hyundai Creta 1.4 E Plus Diesel,Bharatpur,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,47.25
Porsche Cayenne 2009-2014 Turbo,Bharatpur,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5,65.25
Mahindra XUV500 W8 4WD,Bharatpur,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,43.425
Hyundai i10 Sportz 1.2 AT,Ratnanagar,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,15.66
Nissan Terrano XV D Pre,Ratnanagar,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5,31.14
Honda Brio VX AT,Janakpur,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5,29.07
Audi A6 2.0 TDI Design Edition,Kathmandu,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,132.75
Ford Fiesta 1.4 SXi TDCi,Birjung,2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5,9
Toyota Innova 2.0 G1,Pokhara,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8,20.25
Toyota Innova 2.5 VX 7 STR BSIV,Nepaljung,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,52.875
Hyundai Santro Xing XL,Nepaljung,2005,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,5.85
Maruti Swift VDI,Birjung,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,16.875
Tata Zest Revotron 1.2T XE,Hetauda,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,20.25
Honda Amaze SX i-VTEC,Ratnanagar,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,21.69
Ford Figo Diesel ZXI,Nepaljung,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,12.6
Maruti Ritz VDi,Birjung,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,13.995
Honda City i VTEC E,Kathmandu,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,14.625
BMW 5 Series 2003-2012 525d,Kathmandu,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5,62.55
Hyundai i10 Sportz 1.2,Hetauda,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,10.125
Hyundai Grand i10 Sportz,Biratnagar,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,25.875
Hyundai Santro Xing XO,Nepaljung,2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,9.45
Honda Amaze SX i-VTEC,Bharatpur,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,22.5
Toyota Fortuner 4x2 Manual,Kathmandu,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,74.25
Audi A6 2011-2015 35 TDI Premium,Janakpur,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,178.11
Ford Ecosport 1.5 DV5 MT Titanium Optional,Kathmandu,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,24.75
Mahindra XUV500 W8 2WD,Kathmandu,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,36.45
Honda Amaze SX i-DTEC,Butwal,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,15.75
Volkswagen Polo Diesel Highline 1.2L,Butwal,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,12.555
Hyundai Verna Transform SX VGT CRDi,Itahari,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,15.525
Maruti Wagon R VXI BS IV,Biratnagar,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,20.025
Volkswagen Polo Petrol Highline 1.6L,Kathmandu,2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5,11.925
Hyundai i20 1.4 CRDi Sportz,Hetauda,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,17.1
Hyundai i20 Asta 1.2,Bharatpur,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,20.925
Datsun GO Plus T Petrol,Hetauda,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,17.775
Audi A4 3.0 TDI Quattro Premium,Butwal,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,44.1
Hyundai i20 2015-2017 Asta,Hetauda,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,12.15
Maruti Omni 5 Str STD,Janakpur,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,10.845
Toyota Etios Liva 1.2 G,Itahari,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,17.55
Jaguar XF 3.0 Litre S Premium Luxury,Nepaljung,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5,108
Mahindra XUV500 W8 2WD,Kathmandu,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7,25.875
Hyundai Verna 1.6 SX CRDI (O) AT,Butwal,2014,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,23.625
Toyota Innova Crysta 2.8 ZX AT,Bharatpur,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,86.625
Maruti Eeco 5 Seater AC,Janakpur,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,17.595
Tata Nano Twist XT,Biratnagar,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,9.675
BMW 3 Series 320d Luxury Line,Bharatpur,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,93.375
Honda Civic 2006-2010 1.8 V MT,Kathmandu,2010,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,15.075
Toyota Innova 2.5 VX (Diesel) 7 Seater,Itahari,2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,49.995
Volvo V40 Cross Country D3,Biratnagar,2014,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5,90
Nissan Micra XV CVT,Janakpur,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,29.475
BMW 5 Series 2010-2013 525i,Bharatpur,2009,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5,31.5
Maruti Vitara Brezza VDi,Bharatpur,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,33.75
Hyundai Santro Xing XL eRLX Euro III,Bharatpur,2005,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5,3.825
Mercedes-Benz B Class B200 CDI,Hetauda,2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5,75.375
Hyundai Verna CRDi 1.6 SX Option,Butwal,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,49.275
Maruti Wagon R LXI BS IV,Hetauda,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,11.025
Tata Nano XTA,Janakpur,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,14.535
Mahindra Scorpio VLX,Butwal,2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,34.875
Mercedes-Benz New C-Class 200 K AT,Butwal,2009,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5,42.075
Maruti Wagon R LXI CNG,Hetauda,2013,89900,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,14.625
Honda CR-V 2.4 MT,Biratnagar,2007,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5,23.625
Volkswagen Vento 1.5 TDI Comfortline AT,Hetauda,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5,32.625
Maruti Ciaz VXi Plus,Ratnanagar,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,33.615
Mahindra XUV500 AT W10 FWD,Birjung,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,59.625
Maruti Ritz VXI ABS,Janakpur,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,26.145
Maruti Alto K10 VXI,Nepaljung,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,11.7
Mercedes-Benz SLC 43 AMG,Butwal,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2,243
Hyundai Verna VTVT 1.6 AT SX Plus,Ratnanagar,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,51.75
Maruti Alto LXi BSIII,Pokhara,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,7.2
BMW 1 Series 118d Base,Janakpur,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,77.49
Honda Jazz 1.2 V CVT i VTEC,Bharatpur,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,27
Honda Civic 2006-2010 1.8 V MT,Kathmandu,2012,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,17.775
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Ratnanagar,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,80.775
Honda Amaze SX i-DTEC,Butwal,2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,16.65
Maruti Swift VVT VXI,Ratnanagar,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,24.435
Hyundai Santro Xing XO eRLX Euro II,Ratnanagar,2008,80759,Petrol,Manual,Third,17.0 kmpl,1086 CC,null bhp,5,7.515
Toyota Fortuner 3.0 Diesel,Janakpur,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,60.705
Chevrolet Beat LT Option,Hetauda,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,12.825
Skoda Rapid 1.5 TDI Elegance,Pokhara,2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5,21.375
Maruti Ciaz 1.4 Alpha,Ratnanagar,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,44.55
Audi RS5 Coupe,Bharatpur,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,166.5
BMW 3 Series Luxury Line,Bharatpur,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,119.25
Audi A4 2.0 TDI 177 Bhp Premium Plus,Janakpur,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,104.94
Maruti Swift VDI,Pokhara,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,28.125
Mercedes-Benz S Class 2005 2013 S 500,Butwal,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5,135
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Janakpur,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,44.37
Skoda Superb Elegance 2.0 TDI CR AT,Hetauda,2012,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5,38.25
Hyundai EON Magna Plus,Ratnanagar,2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,19.035
Volkswagen Polo Diesel Trendline 1.2L,Birjung,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,15.75
Datsun GO NXT,Butwal,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,11.25
Honda Brio S MT,Butwal,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,10.755
Mercedes-Benz B Class B180,Kathmandu,2013,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,50.625
Honda City i DTEC V,Ratnanagar,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,31.995
Toyota Innova 2.5 G (Diesel) 7 Seater,Itahari,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,49.05
Maruti Swift VXI Optional,Itahari,2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,27.9
Mahindra XUV500 W8 2WD,Bharatpur,2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,35.55
Ford Ecosport 1.5 DV5 MT Ambiente,Ratnanagar,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,19.89
Toyota Fortuner 4x2 Manual,Bharatpur,2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,60.75
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Pokhara,2013,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,28.125
Ford Figo Diesel Titanium,Birjung,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,9.45
BMW X5 xDrive 30d,Bharatpur,2015,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,202.5
Mercedes-Benz New C-Class C 220 CDI Style,Janakpur,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,151.47
Honda Brio V MT,Biratnagar,2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,16.425
Hyundai i10 Magna 1.2,Kathmandu,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,12.375
Mercedes-Benz GLC 220,Biratnagar,2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,191.25
Hyundai Grand i10 1.2 Kappa Asta,Butwal,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,29.25
Audi A6 2011-2015 2.0 TDI Premium Plus,Bharatpur,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,85.5
Volkswagen Vento Petrol Highline AT,Bharatpur,2013,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5,20.025
Mini Countryman Cooper D,Birjung,2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5,103.5
Hyundai i20 Asta 1.4 CRDi,Biratnagar,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,37.575
Audi A6 2011-2015 2.0 TDI Premium Plus,Bharatpur,2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,103.275
Chevrolet Beat Diesel LT,Birjung,2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,6.75
Skoda Superb Elegance 1.8 TSI AT,Ratnanagar,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,31.005
Ford Fiesta 1.4 TDCi EXI Limited Edition,Pokhara,2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,6.525
BMW 5 Series 520d Luxury Line,Nepaljung,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,150.75
Chevrolet Optra Magnum 1.6 LS BS3,Birjung,2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5,5.625
Volkswagen Polo Diesel Highline 1.2L,Nepaljung,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,18.9
Renault Lodgy 110PS RxZ 8 Seater,Bharatpur,2015,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8,30.375
Mercedes-Benz E-Class E250 CDI Avantgrade,Biratnagar,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,144
Maruti Baleno Alpha,Ratnanagar,2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,33.75
Hyundai Verna 1.6 SX,Kathmandu,2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,20.7
Hyundai i10 Magna 1.1,Ratnanagar,2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,18.18
Mahindra Scorpio 1.99 S10 4WD,Ratnanagar,2016,56739,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7,46.395
Land Rover Range Rover 2.2L Dynamic,Janakpur,2018,36091,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,250.92
Ford Figo Diesel ZXI,Pokhara,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,11.7
Maruti Ertiga ZDI,Bharatpur,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7,38.25
Honda City 1.5 GXI,Itahari,2007,60006,Petrol,Manual,First,0.0 kmpl,,,,13.275
Honda Amaze S i-Dtech,Butwal,2014,52000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,15.75
Hyundai i10 Magna,Birjung,2015,43571,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,15.975
Honda Amaze S i-Dtech,Butwal,2013,50000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,14.625
